70;Pavel Dorofeyev;25;VEG;LW;;;;;;;;;;;;;;;;;;;
71;Anthony Mantha;31;PIT;RW;;;;;;;;;;;;;;;;;;;
72;Alex Ovechkin;40;WSH;LW;;;;;;;;;;;;;;;;;;;
73;Robert Thomas;26;STL;C;;;;;;;;;;;;;;;;;;;
74;Miro Heiskanen;26;DAL;D;;;;;;;;;;;;;;;;;;;
75;Ivan Demidov;20;MTL;RW;;;;;;;;;;;;;;;;;;;
76;Tom Wilson;31;WSH;RW;;;;;;;;;;;;;;;;;;;
77;Ivan Barbashev;30;VEG;C;;;;;;;;;;;;;;;;;;;
78;Evgeni Malkin;39;PIT;C;;;;;;;;;;;;;;;;;;;
79;Charlie McAvoy;28;BOS;D;;;;;;;;;;;;;;;;;;;
80;Sam Reinhart;30;FLA;C;;;;;;;;;;;;;;;;;;;
81;Jakob Chychrun;27;WSH;D;;;;;;;;;;;;;;;;;;;
82;Moritz Seider;24;DET;D;;;;;;;;;;;;;;;;;;;
83;Beckett Sennecke;20;ANA;F;;;;;;;;;;;;;;;;;;;
84;John Carlson;36;2TM;D;;;;;;;;;;;;;;;;;;;
84;John Carlson;36;WSH;D;;;;;;;;;;;;;;;;;;;
84;John Carlson;36;ANA;D;;;;;;;;;;;;;;;;;;;
85;Dylan Cozens;24;OTT;C;;;;;;;;;;;;;;;;;;;
86;Adam Fantilli;21;CBJ;C;;;;;;;;;;;;;;;;;;;
87;Matthew Schaefer;18;NYI;D;;;;;;;;;;;;;;;;;;;
88;Mikhail Sergachev;27;UTA;D;;;;;;;;;;;;;;;;;;;
89;Will Smith;20;SJS;C;;;;;;;;;;;;;;;;;;;
90;Brady Tkachuk;26;OTT;LW;;;;;;;;;;;;;;;;;;;
91;Sam Bennett;29;FLA;C;;;;;;;;;;;;;;;;;;;
92;Tyler Bertuzzi;30;CHI;LW;;;;;;;;;;;;;;;;;;;
93;Charlie Coyle;33;CBJ;C;;;;;;;;;;;;;;;;;;;
94;Tom†? Hertl;32;VEG;C;;;;;;;;;;;;;;;;;;;
95;Jackson LaCombe;25;ANA;D;;;;;;;;;;;;;;;;;;;
96;Dylan Strome;28;WSH;C;;;;;;;;;;;;;;;;;;;
97;Bo Horvat;30;NYI;C;;;;;;;;;;;;;;;;;;;
98;Patrick Kane;37;DET;RW;;;;;;;;;;;;;;;;;;;
99;Alexis Lafreniäre;24;NYR;LW;;;;;;;;;;;;;;;;;;;
100;Troy Terry;28;ANA;C;;;;;;;;;;;;;;;;;;;
101;Luke Evangelista;23;NSH;RW;;;;;;;;;;;;;;;;;;;
102;Ryan Nugent-Hopkins;32;EDM;C;;;;;;;;;;;;;;;;;;;
103;Jordan Eberle;35;SEA;RW;;;;;;;;;;;;;;;;;;;
104;Roman Josi;35;NSH;D;;;;;;;;;;;;;;;;;;;
105;Josh Morrissey;30;WPG;D;;;;;;;;;;;;;;;;;;;
106;Carter Verhaeghe;30;FLA;C;;;;;;;;;;;;;;;;;;;
107;Alexander Wennberg;31;SJS;C;;;;;;;;;;;;;;;;;;;
108;Viktor Arvidsson;32;BOS;LW;;;;;;;;;;;;;;;;;;;
109;Brad Marchand;37;FLA;LW;;;;;;;;;;;;;;;;;;;
110;Ryan McLeod;26;BUF;C;;;;;;;;;;;;;;;;;;;
111;Jake Sanderson;23;OTT;D;;;;;;;;;;;;;;;;;;;
112;Mats Zuccarello;38;MIN;LW;;;;;;;;;;;;;;;;;;;
113;Jackson Blake;22;CAR;RW;;;;;;;;;;;;;;;;;;;
114;William Eklund;23;SJS;LW;;;;;;;;;;;;;;;;;;;
115;Adam Fox;27;NYR;D;;;;;;;;;;;;;;;;;;;
116;Auston Matthews;28;TOR;C;;;;;;;;;;;;;;;;;;;
117;J.T. Miller;32;NYR;C;;;;;;;;;;;;;;;;;;;
118;Vincent Trocheck;32;NYR;C;;;;;;;;;;;;;;;;;;;
119;Anthony Cirelli;28;TBL;C;;;;;;;;;;;;;;;;;;;
120;Josh Doan;23;BUF;RW;;;;;;;;;;;;;;;;;;;
121;Zach Hyman;33;EDM;LW;;;;;;;;;;;;;;;;;;;
122;Aliaksei Protas;25;WSH;C;;;;;;;;;;;;;;;;;;;
123;Christian Dvorak;29;PHI;C;;;;;;;;;;;;;;;;;;;
124;Joel Eriksson Ek;29;MIN;C;;;;;;;;;;;;;;;;;;;
125;Brock Faber;23;MIN;D;;;;;;;;;;;;;;;;;;;
126;Dylan Holloway;24;STL;C;;;;;;;;;;;;;;;;;;;
127;Matvei Michkov;21;PHI;RW;;;;;;;;;;;;;;;;;;;
128;Elias Pettersson;27;VAN;C;;;;;;;;;;;;;;;;;;;
129;Jack Quinn;24;BUF;RW;;;;;;;;;;;;;;;;;;;
130;Jimmy Snuggerud;21;STL;RW;;;;;;;;;;;;;;;;;;;
131;Owen Tippett;26;PHI;RW;;;;;;;;;;;;;;;;;;;
132;Matty Beniers;23;SEA;C;;;;;;;;;;;;;;;;;;;
133;Shayne Gostisbehere;32;CAR;D;;;;;;;;;;;;;;;;;;;
134;Chris Kreider;34;ANA;LW;;;;;;;;;;;;;;;;;;;
135;Brayden Point;29;TBL;C;;;;;;;;;;;;;;;;;;;
136;Nazem Kadri;35;2TM;C;;;;;;;;;;;;;;;;;;;
136;Nazem Kadri;35;CGY;C;;;;;;;;;;;;;;;;;;;
136;Nazem Kadri;35;COL;C;;;;;;;;;;;;;;;;;;;
137;Quinton Byfield;23;LAK;C;;;;;;;;;;;;;;;;;;;
138;Claude Giroux;38;OTT;C;;;;;;;;;;;;;;;;;;;
139;Filip Hronek;28;VAN;D;;;;;;;;;;;;;;;;;;;
140;Marcus Johansson;35;MIN;C;;;;;;;;;;;;;;;;;;;
141;Valeri Nichushkin;30;COL;RW;;;;;;;;;;;;;;;;;;;
142;Chandler Stephenson;31;SEA;C;;;;;;;;;;;;;;;;;;;
143;Tyler Toffoli;33;SJS;C;;;;;;;;;;;;;;;;;;;
144;Brock Boeser;28;VAN;RW;;;;;;;;;;;;;;;;;;;
145;Pavel Buchnevich;30;STL;LW;;;;;;;;;;;;;;;;;;;
146;Taylor Hall;34;CAR;LW;;;;;;;;;;;;;;;;;;;
147;Artturi Lehkonen;30;COL;LW;;;;;;;;;;;;;;;;;;;
148;Elias Lindholm;31;BOS;C;;;;;;;;;;;;;;;;;;;
149;Rickard Rakell;32;PIT;RW;;;;;;;;;;;;;;;;;;;
150;Noah Cates;26;PHI;LW;;;;;;;;;;;;;;;;;;;
151;Noah Dobson;26;MTL;D;;;;;;;;;;;;;;;;;;;
152;JJ Peterka;24;UTA;RW;;;;;;;;;;;;;;;;;;;
153;Vladimir Tarasenko;34;MIN;RW;;;;;;;;;;;;;;;;;;;
154;Rasmus Andersson;29;2TM;D;;;;;;;;;;;;;;;;;;;
154;Rasmus Andersson;29;CGY;D;;;;;;;;;;;;;;;;;;;
154;Rasmus Andersson;29;VEG;D;;;;;;;;;;;;;;;;;;;
155;Collin Graf;23;SJS;F;;;;;;;;;;;;;;;;;;;
156;Jordan Kyrou;27;STL;C;;;;;;;;;;;;;;;;;;;
157;Connor McMichael;25;WSH;C;;;;;;;;;;;;;;;;;;;
158;Shane Pinto;25;OTT;C;;;;;;;;;;;;;;;;;;;
159;Bobby McMann;29;2TM;F;;;;;;;;;;;;;;;;;;;
159;Bobby McMann;29;TOR;F;;;;;;;;;;;;;;;;;;;
159;Bobby McMann;29;SEA;F;;;;;;;;;;;;;;;;;;;
160;Matthew Coronato;23;CGY;RW;;;;;;;;;;;;;;;;;;;
161;Matt Duchene;35;DAL;C;;;;;;;;;;;;;;;;;;;
162;Ryan Leonard;21;WSH;RW;;;;;;;;;;;;;;;;;;;
163;Jason Zucker;34;BUF;LW;;;;;;;;;;;;;;;;;;;
164;Mason Marchment;30;2TM;F;;;;;;;;;;;;;;;;;;;
164;Mason Marchment;30;SEA;F;;;;;;;;;;;;;;;;;;;
164;Mason Marchment;30;CBJ;F;;;;;;;;;;;;;;;;;;;
165;Lawson Crouse;28;UTA;LW;;;;;;;;;;;;;;;;;;;
166;Vince Dunn;29;SEA;D;;;;;;;;;;;;;;;;;;;
167;Roope Hintz;29;DAL;LW;;;;;;;;;;;;;;;;;;;
168;Alex Laferriere;24;LAK;RW;;;;;;;;;;;;;;;;;;;
169;Anton Lundell;24;FLA;C;;;;;;;;;;;;;;;;;;;
170;Timo Meier;29;NJD;RW;;;;;;;;;;;;;;;;;;;
171;Logan Stankoven;22;CAR;C;;;;;;;;;;;;;;;;;;;
172;Mikael Backlund;36;CGY;C;;;;;;;;;;;;;;;;;;;
173;Zach Benson;20;BUF;LW;;;;;;;;;;;;;;;;;;;
174;Connor Brown;32;NJD;RW;;;;;;;;;;;;;;;;;;;
175;Logan Cooley;21;UTA;C;;;;;;;;;;;;;;;;;;;
176;Andrew Copp;31;DET;C;;;;;;;;;;;;;;;;;;;
177;Morgan Frost;26;CGY;C;;;;;;;;;;;;;;;;;;;
178;Ryan Hartman;31;MIN;RW;;;;;;;;;;;;;;;;;;;
179;Bowen Byram;24;BUF;D;;;;;;;;;;;;;;;;;;;
180;Jake DeBrusk;29;VAN;LW;;;;;;;;;;;;;;;;;;;
181;Anders Lee;35;NYI;LW;;;;;;;;;;;;;;;;;;;
182;Dawson Mercer;24;NJD;C;;;;;;;;;;;;;;;;;;;
183;Casey Mittelstadt;27;BOS;C;;;;;;;;;;;;;;;;;;;
184;Thomas Novak;28;PIT;C;;;;;;;;;;;;;;;;;;;
185;Egor Chinakhov;24;2TM;RW;;;;;;;;;;;;;;;;;;;
185;Egor Chinakhov;24;CBJ;RW;;;;;;;;;;;;;;;;;;;
185;Egor Chinakhov;24;PIT;RW;;;;;;;;;;;;;;;;;;;
186;Mavrik Bourque;24;DAL;C;;;;;;;;;;;;;;;;;;;
187;Mattias Ekholm;35;EDM;D;;;;;;;;;;;;;;;;;;;
188;Mikael Granlund;33;ANA;C;;;;;;;;;;;;;;;;;;;
189;Simon Holmstrîm;24;NYI;RW;;;;;;;;;;;;;;;;;;;
190;Mason McTavish;23;ANA;C;;;;;;;;;;;;;;;;;;;
191;Frank Nazar;22;CHI;C;;;;;;;;;;;;;;;;;;;
192;Mattias Samuelsson;25;BUF;D;;;;;;;;;;;;;;;;;;;
193;Brandt Clarke;22;LAK;D;;;;;;;;;;;;;;;;;;;
194;Kevin Fiala;29;LAK;LW;;;;;;;;;;;;;;;;;;;
195;Kaapo Kakko;24;SEA;RW;;;;;;;;;;;;;;;;;;;
196;Sam Malinski;27;COL;D;;;;;;;;;;;;;;;;;;;
197;Jared McCann;29;SEA;C;;;;;;;;;;;;;;;;;;;
198;Justin Faulk;33;2TM;D;;;;;;;;;;;;;;;;;;;
198;Justin Faulk;33;STL;D;;;;;;;;;;;;;;;;;;;
198;Justin Faulk;33;DET;D;;;;;;;;;;;;;;;;;;;
199;Oliver Ekman-Larsson;34;TOR;D;;;;;;;;;;;;;;;;;;;
200;Dougie Hamilton;32;NJD;D;;;;;;;;;;;;;;;;;;;
201;Peyton Krebs;25;BUF;C;;;;;;;;;;;;;;;;;;;
202;Matias Maccelli;25;TOR;LW;;;;;;;;;;;;;;;;;;;
203;Shea Theodore;30;VEG;D;;;;;;;;;;;;;;;;;;;
204;Brayden Schenn;34;2TM;C;;;;;;;;;;;;;;;;;;;
204;Brayden Schenn;34;STL;C;;;;;;;;;;;;;;;;;;;
204;Brayden Schenn;34;NYI;C;;;;;;;;;;;;;;;;;;;
