Name;Pos;Age;Team
MAX SZUBER;D;23.8;Tucson Roadrunners
PARKER FORD;R;25.9;Manitoba Moose
ROLAND MCKEOWN;D;30.4;San Diego Gulls
SAMUEL SAVOIE;F;22.3;Rockford IceHogs
TREY TAYLOR;D;24.4;Texas Stars
TYLER BOUCHER;R;23.5;Belleville Senators
ALEXIS GENDRON;F;22.5;Providence Bruins
BORIS KATCHOUK;L;28.0;Lehigh Valley Phantoms
BORYA VALIS;F;22.2;Toronto Marlies
BRYCE MCCONNELL-BARKER;F;22.1;Hartford Wolf Pack
DAYLAN KUEFLER;F;24.4;Bridgeport Islanders
DYLAN ROOBROECK;F;21.9;Hartford Wolf Pack
HUNTER MCKOWN;C;23.9;Cleveland Monsters
JACK THOMPSON;D;24.3;Abbotsford Canucks
JARED DAVIDSON;F;24.0;Laval Rocket
JAROSLAV CHMELAR;F;22.9;Hartford Wolf Pack
JOSIAH SLAVIN;L;27.5;Chicago Wolves
JUSTIN PEARSON;L;28.1;Cleveland Monsters
KALE CLAGUE;D;28.1;Manitoba Moose
LASSI THOMSON;D;25.8;Belleville Senators
LENNI HAMEENAHO;F;21.6;Utica Comets
NICK CICEK;D;26.1;Calgary Wranglers
RILEY HEIDT;C;21.3;Iowa Wild
ROMAN AHCAN;L;27.3;Cleveland Monsters
TREVOR CARRICK;D;32.0;Charlotte Checkers
ALEX SUZDALEV;R;22.3;Hershey Bears
ARSHDEEP BAINS;L;25.5;Abbotsford Canucks
AUSTIN WATSON;R;34.5;Grand Rapids Griffins
AYDAR SUNIEV;L;21.6;Calgary Wranglers
CORSON CEULEMANS;D;23.2;Cleveland Monsters
DANNY ZHILKIN;C;22.5;Manitoba Moose
DYLAN PETERSON;F;24.5;Springfield Thunderbirds
J.R. AVON;F;23.0;Coachella Valley Firebirds
JEAN-LUC FOUDY;R;24.1;Iowa Wild
JOHN HAYDEN;F;31.4;Coachella Valley Firebirds
KARSEN DORWART;F;23.8;Lehigh Valley Phantoms
KEVIN ROONEY;C;33.1;Tucson Roadrunners
KOEHN ZIEMMER;F;21.6;Ontario Reign
MAXENCE GUENETTE;D;25.2;Lehigh Valley Phantoms
NIKOLAS BROUILLARD;D;31.4;San Diego Gulls
OLIVIER NADEAU;R;23.5;Rochester Americans
PATRICK GILES;F;26.5;San Jose Barracuda
TAYLOR MAKAR;F;25.3;Colorado Eagles
TRISTAN ALLARD;C;24.0;Syracuse Crunch
TRISTAN BERTUCCI;D;21.0;Texas Stars
VIKTOR NEUCHEV;R;22.7;Chicago Wolves
BRENNAN OTHMANN;L;23.5;Calgary Wranglers
BRETT CHORSKE;F;25.1;Charlotte Checkers
CASEY FITZGERALD;D;29.3;Hartford Wolf Pack
DAVID JIRICEK;D;22.6;Lehigh Valley Phantoms
DAVID REINBACHER;D;21.7;Laval Rocket
ETHAN EDWARDS;D;24.1;Utica Comets
GRACYN SAWCHYN;C;21.4;Charlotte Checkers
HUNTER DREW;R;27.7;Bridgeport Islanders
ISAAC RATCLIFFE;L;27.4;Milwaukee Admirals
JAKE SCHMALTZ;C;25.2;Providence Bruins
JUUSO VALIMAKI;D;27.7;Chicago Wolves
KEVIN LOMBARDI;F;27.9;Rockford IceHogs
NOAH CHADWICK;D;21.1;Toronto Marlies
RHETT PITLICK;R;25.4;Bakersfield Condors
SEAN BEHRENS;D;23.2;Colorado Eagles
SHANE LACHANCE;F;22.8;Utica Comets
STIAN SOLBERG;D;20.5;San Diego Gulls
TANNER MOLENDYK;D;21.4;Milwaukee Admirals
TY TULLIO;R;24.2;Tucson Roadrunners
WYATT AAMODT;D;28.6;Colorado Eagles
AIDAN THOMPSON;F;24.4;Hartford Wolf Pack
AKIL THOMAS;F;26.5;Springfield Thunderbirds
BEN GLEASON;D;28.3;Iowa Wild
CEDRIC PARE;F;27.4;Toronto Marlies
DAMIEN CARFAGNA;D;23.5;Bakersfield Condors
DAVID EDSTROM;C;21.4;Milwaukee Admirals
HENRY THRUN;D;25.3;Toronto Marlies
JAKE LESCHYSHYN;C;27.3;Rochester Americans
JAN MYSAK;C;24.0;San Diego Gulls
JOEY ABATE;L;27.8;Providence Bruins
JOEY WILLIS;L;21.3;Milwaukee Admirals
MATT STROME;C;27.5;Hershey Bears
RONAN SEELEY;D;23.9;Chicago Wolves
WILL BUTCHER;D;31.5;Cleveland Monsters
BRETT BERARD;F;23.8;Hartford Wolf Pack
BRETT HARRISON;R;23.0;Lehigh Valley Phantoms
CHRIS TERRY;F;37.2;Bridgeport Islanders
FINN HARDING;D;21.3;Wilkes-Barre/Scranton Penguins
GABRIEL SEGER;L;26.6;Grand Rapids Griffins
JASON POLIN;F;27.0;Colorado Eagles
JOE HICKETTS;D;30.2;Ontario Reign
JORIAN DONOVAN;D;22.2;Belleville Senators
JUSTIN KIRKLAND;C;29.9;Calgary Wranglers
MAXIM GROSHEV;D;24.5;Syracuse Crunch
MIKE HARDMAN;L;27.4;Utica Comets
NOEL NORDH;F;21.4;Tucson Roadrunners
NOLAN ALLAN;D;23.2;San Jose Barracuda
RIESE GABER;F;26.7;Charlotte Checkers
SAWYER MYNIO;D;21.2;Abbotsford Canucks
TAYLOR WARD;F;28.2;Ontario Reign
THOMAS BORDELEAU;F;24.5;Springfield Thunderbirds
VILLE HEINOLA;D;25.3;Manitoba Moose
WILLIAM LAGESSON;D;30.4;Grand Rapids Griffins
CAEDAN BANKIER;C;23.4;Iowa Wild
CAM BERG;F;24.4;Bridgeport Islanders
CAM DINEEN;D;28.0;Bakersfield Condors
JONATHAN LEKKERIMAKI;R;21.9;Abbotsford Canucks
KIRILL KUDRYAVTSEV;D;22.4;Abbotsford Canucks
MARC-ANDRE GAUDET;D;22.7;Springfield Thunderbirds
MATT DUMBA;D;31.9;Wilkes-Barre/Scranton Penguins
NATHAN LEGARE;R;25.5;Utica Comets
SCOTT MORROW;D;23.7;Hartford Wolf Pack
TUOMAS URONEN;F;21.3;Henderson Silver Knights
TY GALLAGHER;D;23.3;Providence Bruins
WILLIAM TRUDEAU;D;23.7;Laval Rocket
ALEKSI HEIMOSALMI;D;23.1;Chicago Wolves
ANGUS BOOTH;D;22.2;Ontario Reign
ARTTU HYRY;C;25.2;Texas Stars
CARSON LAMBOS;D;23.5;Iowa Wild
CARSON REHKOPF;F;21.5;Coachella Valley Firebirds
DANTON HEINEN;L;31.0;Cleveland Monsters
GABRIEL SZTURC;C;22.8;Syracuse Crunch
GUILLAUME RICHARD;D;23.4;Cleveland Monsters
JACK RATHBONE;D;27.1;Rochester Americans
JACOB MELANSON;F;23.2;Coachella Valley Firebirds
JAKUB STANCL;F;21.2;Springfield Thunderbirds
LUKAS REICHEL;C;24.1;Providence Bruins
MAVERIC LAMOUREUX;D;22.5;Tucson Roadrunners
NIKITA NOVIKOV;D;22.9;Ontario Reign
OLIVER BONK;D;21.5;Lehigh Valley Phantoms
OWEN ALLARD;F;22.5;Tucson Roadrunners
RILEY DURAN;R;24.4;Providence Bruins
RYAN JOHNSON;D;24.9;Rochester Americans
SCOTT HARRINGTON;D;33.3;Belleville Senators
WILLIAM WALLINDER;D;23.9;Grand Rapids Griffins
CAL FOOTE;D;27.5;Chicago Wolves
CONNOR MACKEY;D;29.8;Hartford Wolf Pack
DANIEL D'AMATO;L;25.2;Bakersfield Condors
ETHAN SAMSON;D;22.9;Syracuse Crunch
GRANT CRUIKSHANK;C;27.9;Hershey Bears
HUDSON FASCHING;R;30.9;Cleveland Monsters
HUNTER SKINNER;D;25.2;Springfield Thunderbirds
ISAIAH GEORGE;D;22.4;Bridgeport Islanders
JACK HUGHES;F;22.7;Ontario Reign
JAMES MALATESTA;L;23.1;Cleveland Monsters
JEREMIE POIRIER;D;24.1;Texas Stars
JIMMY SCHULDT;D;31.1;Abbotsford Canucks
JOHN FARINACCI;C;25.4;Providence Bruins
JORDAN DUMAIS;R;22.2;Cleveland Monsters
MAX JONES;L;28.4;Bakersfield Condors
MIKULAS HOVORKA;D;25.0;Charlotte Checkers
NICO MYATOVIC;L;21.6;San Diego Gulls
OSKAR PETTERSSON;R;24.4;Belleville Senators
SEAMUS CASEY;D;22.5;Utica Comets
TYSON HINDS;D;23.3;San Diego Gulls
BILLY SWEEZEY;D;30.4;Providence Bruins
CAM THIESING;F;25.3;Bridgeport Islanders
DYLAN ANHORN;D;27.4;Manitoba Moose
ETHAN DEL MASTRO;D;23.5;Rockford IceHogs
GABE PERREAULT;F;21.1;Hartford Wolf Pack
JAKE LIVINGSTONE;D;27.2;Charlotte Checkers
JAMIESON REES;L;25.3;Belleville Senators
JAN JENIK;F;25.8;Ontario Reign
KEEAN WASHKURAK;C;24.9;Belleville Senators
LUCAS CONDOTTA;L;28.6;Laval Rocket
MICHAL KUNC;F;25.7;Tucson Roadrunners
NIKITA CHIBRIKOV;L;23.4;Manitoba Moose
NOAH GREGOR;C;27.9;Charlotte Checkers
NOAH PHILP;C;27.8;Chicago Wolves
RILEY STILLMAN;D;28.3;Bakersfield Condors
ROBBIE RUSSO;D;33.4;Tucson Roadrunners
RONNIE ATTARD;D;27.3;Colorado Eagles
SEAN DAY;D;28.5;Bridgeport Islanders
AARON HUGLEN;R;25.3;Wilkes-Barre/Scranton Penguins
ANTHONY VINCENT;F;28.9;San Jose Barracuda
ANTON BLIDH;F;31.3;Hartford Wolf Pack
AUSTIN STRAND;D;29.4;Utica Comets
CAM SQUIRES;F;21.2;Utica Comets
CARTER MAZUR;R;24.3;Grand Rapids Griffins
CHASE PIETILA;D;22.3;Wilkes-Barre/Scranton Penguins
COLBY BARLOW;R;21.4;Manitoba Moose
DENVER BARKEY;F;21.2;Lehigh Valley Phantoms
LOGAN BROWN;F;28.3;Ontario Reign
LUCA MARRELLI;D;20.7;Cleveland Monsters
LUKE KRYS;D;25.8;Texas Stars
LUKE TOPOROWSKI;R;25.2;Colorado Eagles
MICHAEL CALLAHAN;D;26.8;Providence Bruins
OTTO STENBERG;F;21.1;Springfield Thunderbirds
RYAN CHESLEY;D;22.3;Hershey Bears
TANNER HOWE;L;20.6;Wilkes-Barre/Scranton Penguins
TRAVIS MITCHELL;D;26.6;Bridgeport Islanders
TYLER THORPE;R;20.9;Laval Rocket
VILIAM KMEC;D;22.5;Henderson Silver Knights
VILLE OTTAVAINEN;D;23.9;Coachella Valley Firebirds
ZACH ASTON-REESE;L;31.9;Cleveland Monsters
ALEX KANNOK LEIPERT;D;25.9;Grand Rapids Griffins
CAL BURKE;C;29.3;San Diego Gulls
CARL GRUNDSTROM;F;28.6;Lehigh Valley Phantoms
DMITRY KUZMIN;D;23.2;Rockford IceHogs
ETHAN CARDWELL;F;23.8;San Jose Barracuda
GARRETT WILSON;L;35.3;Lehigh Valley Phantoms
JACK PEART;D;23.1;Iowa Wild
JOE FLEMING;F;23.0;Henderson Silver Knights
KYLE MARINO;R;31.1;Milwaukee Admirals
MARTIN MISIAK;F;21.7;Rockford IceHogs
MATT BENNING;D;32.1;Toronto Marlies
MATTIAS HAVELID;D;25.5;San Jose Barracuda
NATE DANIELSON;C;21.8;Grand Rapids Griffins
NIKITA NESTERENKO;L;24.8;San Diego Gulls
OSCAR EKLIND;F;28.0;Lehigh Valley Phantoms
REESE JOHNSON;R;28.0;Toronto Marlies
TYLER PITLICK;F;34.7;Iowa Wild
ZACH METSA;D;27.7;Rochester Americans
ALEX DOUCET;L;24.5;Grand Rapids Griffins
ANDREI LOSHKO;F;21.7;Coachella Valley Firebirds
BRAD LAMBERT;F;22.5;Manitoba Moose
CAREY TERRANCE;F;21.1;Hartford Wolf Pack
CARTER KING;C;24.8;Calgary Wranglers
DOMINIK BADINKA;D;20.6;Chicago Wolves
